,Title,Rating,TotalVotes,Genre1,MetaCritic,Budget,Runtime,Ô..CVotes10,CVotes09,CVotes08,CVotes07,CVotes06,CVotes05,CVotes04,CVotes03,CVotes02,CVotes01,CVotesMale,CVotesFemale,CVotesU18,CVotesU18M,CVotesU18F,CVotes1829,CVotes1829M,CVotes1829F,CVotes3044,CVotes3044M,CVotes3044F,CVotes45A,CVotes45AM,CVotes45AF,CVotes1000,CVotesUS,CVotesnUS,VotesM,VotesF,VotesU18,VotesU18M,VotesU18F,Votes1829,Votes1829M,Votes1829F,Votes3044,Votes3044M,Votes3044F,Votes45A,Votes45AM,Votes45AF,VotesIMDB,Votes1000,VotesUS,VotesnUS
86,The Big Short†(2015),7.7,"254,317",Comedy,81,$26300000.0,130 min,22879,48091,94303,58756,18650,6141,2253,1133,713,1415,†167875,†31804,†982,†825,†147,†93777,†76925,†15725,†77242,†65202,†10813,†16496,†13532,†2658,†501,†32587,†115947,†7.8,†7.6,†7.8,†7.8,†7.6,†7.8,†7.9,†7.6,†7.7,†7.7,†7.6,†7.7,†7.7,†7.8,†7.9,†7.3,†7.9,†7.7
92,The Grand Budapest Hotel†(2014),8,"541,526",Comedy,88,$26300000.0,99 min,84258,142011,168705,88086,31632,12023,5455,3196,2204,3971,†332149,†96997,†2083,†1537,†530,†216106,†158823,†54913,†153604,†123255,†27996,†33156,†26147,†6375,†679,†58814,†248067,†8.1,†8.2,†8.6,†8.6,†8.5,†8.2,†8.2,†8.3,†7.9,†7.9,†8.0,†7.8,†7.8,†7.9,†8.0,†7.7,†8.1,†8.0
1,12 Years a Slave†(2013),8,"496,092",Biography,96,$26300000.0,134 min,75556,126223,161460,83070,27231,9603,4021,2420,1785,4739,†313823,†82012,†1837,†1363,†457,†200910,†153669,†45301,†138762,†112943,†23895,†29252,†23072,†5726,†664,†53328,†224519,†8.1,†8.1,†8.4,†8.4,†8.5,†8.2,†8.2,†8.2,†8.0,†7.9,†8.0,†7.8,†7.8,†8.1,†8.0,†7.7,†8.3,†8.0
2,127 Hours†(2010),7.6,"297,075",Biography,82,$12550000.0,94 min,28939,44110,98845,78451,28394,9403,3796,1930,1161,2059,†212866,†44600,†745,†567,†170,†133336,†106007,†26152,†102120,†86609,†14304,†14895,†12400,†2261,†649,†38478,†169745,†7.6,†7.6,†7.9,†7.9,†7.9,†7.7,†7.8,†7.7,†7.5,†7.5,†7.5,†7.3,†7.3,†7.5,†7.6,†7.0,†7.7,†7.6
18,Captain Phillips†(2013),7.8,"350,818",Biography,83,$51550000.0,134 min,37461,70216,133266,76657,21791,6099,2051,1062,707,1517,†247889,†41602,†995,†838,†147,†131052,†110723,†19092,†114418,†98191,†14686,†24670,†20178,†4053,†633,†43042,†165981,†7.8,†7.9,†8.2,†8.2,†8.1,†8.0,†8.0,†7.9,†7.7,†7.7,†7.8,†7.7,†7.7,†8.0,†8.0,†7.4,†7.8,†7.8
37,Hacksaw Ridge†(2016),8.2,"244,314",Biography,71,$51550000.0,139 min,54165,66161,69445,34213,11126,4297,1857,939,639,1541,†156398,†26285,†1929,†1566,†355,†89668,†75012,†13856,†61304,†53275,†7211,†14352,†12020,†2088,†465,†26686,†100119,†8.1,†8.3,†8.7,†8.7,†8.9,†8.3,†8.3,†8.4,†7.9,†7.9,†8.1,†8.1,†8.0,†8.4,†8.2,†7.8,†8.2,†8.0
41,Hidden Figures†(2016),7.8,"111,357",Biography,74,$26300000.0,127 min,17102,21245,39272,23277,6287,1812,685,296,292,1111,†58466,†26503,†671,†410,†251,†35076,†22114,†12543,†32331,†23539,†8288,†11025,†7969,†2848,†347,†17182,†45276,†7.7,†8.3,†8.0,†7.7,†8.6,†7.8,†7.7,†8.3,†7.7,†7.6,†8.1,†8.0,†7.9,†8.5,†8.4,†6.9,†7.9,†7.7
62,Moneyball†(2011),7.6,"300,199",Biography,87,$51550000.0,133 min,20734,43329,108133,85628,27802,8094,2802,1304,778,1604,†222663,†34888,†389,†350,†37,†113508,†97523,†14950,†112429,†96552,†14345,†21998,†17897,†3726,†645,†55437,†146951,†7.6,†7.3,†8.0,†8.1,†7.6,†7.7,†7.8,†7.3,†7.5,†7.5,†7.2,†7.5,†7.5,†7.5,†7.7,†7.1,†7.8,†7.5
71,Rush†(2013),8.2,"345,486",Biography,75,$26300000.0,123 min,53667,90907,119603,57343,14948,4436,1625,803,633,1532,†246354,†35289,†888,†769,†115,†138327,†119048,†17987,†105712,†92487,†11717,†20105,†17096,†2660,†593,†30738,†168519,†8.1,†8.0,†8.3,†8.3,†8.0,†8.3,†8.3,†8.2,†8.0,†8.0,†7.9,†7.8,†7.8,†7.8,†7.4,†7.1,†7.9,†8.1
82,Straight Outta Compton†(2015),8,"144,011",Biography,72,$26300000.0,147 min,24527,29039,48956,26956,7959,2418,921,531,427,2286,†96591,†14262,†760,†658,†95,†55050,†47556,†6918,†40331,†35072,†4713,†7220,†5880,†1214,†393,†23736,†56104,†7.9,†8.0,†8.3,†8.3,†8.6,†8.0,†8.0,†8.0,†7.7,†7.7,†7.8,†7.4,†7.3,†7.7,†7.9,†6.8,†7.9,†7.7
90,The Fighter†(2010),7.8,"292,823",Biography,79,$26300000.0,116 min,27835,55315,117623,64849,17902,4969,1704,922,547,1163,†220445,†31021,†447,†388,†57,†119646,†103848,†14740,†106479,†93016,†12203,†17229,†14289,†2681,†684,†49851,†153538,†7.9,†7.7,†8.1,†8.1,†8.2,†8.0,†8.0,†7.8,†7.8,†7.8,†7.7,†7.7,†7.7,†7.7,†7.6,†7.3,†8.0,†7.8
97,The Imitation Game†(2014),8.2,"540,489",Biography,73,$12550000.0,114 min,80221,137855,187223,94784,25801,7553,2625,1311,824,2307,†328283,†92724,†2703,†1895,†783,†218870,†163084,†53533,†141013,†113989,†24842,†31492,†24954,†5984,†637,†48944,†238440,†8.0,†8.3,†8.5,†8.3,†8.8,†8.2,†8.1,†8.4,†7.8,†7.8,†8.1,†8.0,†7.9,†8.3,†8.2,†7.3,†8.0,†8.0
44,Hugo†(2011),7.6,"261,953",Adventure,83,$123020000.0,126 min,29228,40728,77893,62936,27932,11179,4664,2674,1700,3023,†179655,†47795,†884,†616,†250,†105814,†79064,†25620,†93126,†76098,†15694,†22136,†17667,†4065,†669,†39127,†142850,†7.5,†7.6,†7.8,†7.8,†7.6,†7.7,†7.7,†7.7,†7.4,†7.4,†7.4,†7.5,†7.5,†7.6,†7.4,†7.4,†7.7,†7.5
49,Interstellar†(2014),8.2,"1,075,163",Adventure,74,$123020000.0,169 min,394006,291172,199884,103323,40514,17423,8657,5592,4113,10530,†682280,†128771,†5735,†4596,†1104,†414718,†338261,†72554,†273267,†232939,†36187,†52157,†43831,†7337,†730,†99615,†415283,†8.6,†8.4,†8.9,†8.9,†8.8,†8.8,†8.9,†8.6,†8.4,†8.4,†8.2,†7.9,†7.9,†7.7,†8.2,†7.9,†8.4,†8.5
57,Mad Max: Fury Road†(2015),8.2,"649,540",Adventure,90,$123020000.0,120 min,136194,158403,163494,97218,42636,19505,9932,6743,4930,10516,†424435,†69670,†3159,†2682,†456,†238202,†198026,†37751,†183637,†159520,†21373,†34848,†29980,†4209,†726,†73080,†267084,†8.1,†7.9,†8.5,†8.6,†8.4,†8.3,†8.3,†8.1,†8.0,†8.0,†7.8,†7.5,†7.5,†7.2,†8.6,†8.0,†8.2,†8.0
70,Rogue One†(2016),8,"349,210",Adventure,65,$194800000.0,133 min,59090,78701,100374,63394,26072,9915,4002,2268,1527,3901,†229114,†32521,†2577,†2176,†388,†110156,†93000,†15918,†104268,†92227,†10442,†23372,†20336,†2587,†569,†47885,†139367,†7.9,†7.9,†8.0,†8.0,†8.1,†7.9,†7.9,†7.9,†7.8,†7.8,†7.8,†7.8,†7.8,†7.8,†7.9,†7.5,†8.0,†7.7
78,Skyfall†(2012),7.8,"552,367",Adventure,81,$194800000.0,143 min,69286,105160,178610,119630,45168,16321,6682,3706,2378,5440,†391158,†65929,†1726,†1443,†264,†211059,†175769,†33140,†178148,†153888,†21704,†40529,†34070,†5793,†802,†73825,†262166,†7.7,†7.7,†8.2,†8.2,†7.9,†7.9,†7.9,†7.8,†7.6,†7.6,†7.6,†7.7,†7.7,†7.9,†7.6,†7.4,†8.0,†7.6
80,Star Trek Into Darkness†(2013),7.8,"421,473",Adventure,72,$194800000.0,132 min,59347,81516,136088,87940,32150,11522,4862,2627,1739,3694,†293195,†54871,†1167,†919,†235,†139465,†112847,†25177,†148254,†127249,†18897,†35964,†29756,†5593,†747,†71968,†181224,†7.7,†8.0,†7.8,†7.8,†8.2,†7.9,†7.8,†8.1,†7.6,†7.6,†7.9,†7.7,†7.7,†8.1,†7.4,†7.1,†7.9,†7.6
81,Star Wars: The Force Awakens†(2015),8.2,"676,732",Adventure,81,$194800000.0,136 min,155391,161810,166378,99402,40734,18060,8751,5970,4489,15768,†425971,†68664,†4722,†3919,†768,†220467,†183671,†34366,†187138,†162918,†21362,†42942,†36441,†5729,†712,†85141,†250769,†8.0,†8.3,†8.5,†8.5,†8.6,†8.2,†8.2,†8.3,†8.0,†7.9,†8.2,†7.9,†7.8,†8.2,†8.3,†7.7,†8.2,†7.9
96,The Hunger Games: Catching Fire†(2013),7.6,"531,466",Adventure,76,$123020000.0,146 min,85219,83874,150153,121748,50575,18571,7591,4094,2675,6978,†307237,†115421,†3650,†1956,†1664,†218884,†148652,†67934,†140683,†109976,†28735,†27789,†21545,†5771,†693,†68521,†221430,†7.4,†8.1,†8.0,†7.7,†8.5,†7.8,†7.6,†8.2,†7.3,†7.2,†7.9,†7.3,†7.2,†7.9,†7.3,†6.7,†7.7,†7.4
99,The Lego Movie†(2014),7.8,"271,515",Adventure,83,$51550000.0,100 min,41269,50795,83773,55181,21793,8596,3680,2053,1466,2918,†180122,†37351,†1887,†1464,†414,†111043,†89180,†20677,†77271,†65191,†11020,†13346,†11079,†2032,†579,†42963,†114308,†7.8,†7.7,†8.2,†8.2,†7.9,†7.9,†8.0,†7.7,†7.6,†7.6,†7.5,†7.4,†7.4,†7.4,†8.1,†7.2,†8.0,†7.6
100,The Little Prince†(2015),7.8,"40,777",Adventure,70,$123020000.0,108 min,7565,7321,11668,8558,3370,1162,456,227,158,293,†22441,†9552,†226,†128,†96,†15959,†10150,†5610,†12174,†9280,†2682,†1899,†1496,†355,†198,†3678,†19009,†7.6,†8.1,†8.0,†7.8,†8.2,†7.9,†7.8,†8.2,†7.6,†7.5,†7.9,†7.5,†7.4,†7.9,†7.0,†6.6,†7.7,†7.7
7,Arrival†(2016),8,"370,842",Drama,81,$51550000.0,116 min,55533,87850,109536,65440,26913,10556,5057,3083,2194,4734,†237437,†46272,†1943,†1544,†376,†126301,†101741,†23163,†111985,†95005,†15227,†24027,†20118,†3440,†537,†42062,†163774,†7.9,†8.0,†8.6,†8.6,†8.4,†8.2,†8.2,†8.1,†7.8,†7.8,†7.8,†7.6,†7.6,†7.7,†8.3,†7.3,†8.0,†7.9
14,Bridge of Spies†(2015),7.6,"223,756",Drama,81,$51550000.0,142 min,15757,32840,83322,63800,19183,5178,1657,735,419,878,†152707,†23978,†846,†732,†104,†76784,†64810,†11177,†70780,†61525,†8196,†18494,†15504,†2667,†545,†24273,†105678,†7.6,†7.6,†7.9,†7.9,†7.8,†7.7,†7.7,†7.6,†7.5,†7.5,†7.5,†7.7,†7.6,†7.9,†7.7,†7.4,†7.7,†7.5
30,End of Watch†(2012),7.7,"194,675",Drama,68,$12550000.0,109 min,20733,32267,68590,46486,15489,5370,2235,1186,805,1521,†147679,†17678,†261,†235,†22,†70095,†62195,†7250,†73097,†64952,†7265,†13479,†11530,†1719,†537,†32761,†94643,†7.6,†7.6,†7.9,†7.9,†7.8,†7.8,†7.8,†7.7,†7.5,†7.5,†7.5,†7.4,†7.4,†7.5,†7.9,†6.5,†7.7,†7.6
31,Ex Machina†(2014),7.7,"348,550",Drama,78,$12550000.0,108 min,29780,64769,123938,82736,28662,9579,3806,1951,1165,2182,†237599,†41160,†1154,†899,†242,†126754,†103143,†22173,†113021,†97929,†13354,†23940,†20773,†2697,†611,†42556,†164526,†7.8,†7.5,†8.0,†8.1,†7.8,†7.9,†7.9,†7.6,†7.6,†7.6,†7.4,†7.6,†7.6,†7.4,†8.2,†7.5,†7.9,†7.7
34,Gone Girl†(2014),8.2,"649,474",Drama,79,$51550000.0,149 min,89539,177373,218018,103600,32989,11691,5285,3262,2247,5500,†397571,†113606,†2286,†1598,†665,†260425,†193602,†64291,†179552,†144771,†32133,†34696,†27226,†6840,†689,†70667,†280587,†8.1,†8.1,†8.5,†8.6,†8.4,†8.3,†8.3,†8.2,†7.9,†8.0,†7.9,†7.7,†7.7,†7.7,†8.2,†7.6,†8.1,†8.1
35,Gravity†(2013),7.8,"630,890",Drama,96,$123020000.0,91 min,89986,127616,169693,122275,57564,25393,12286,7868,5751,12473,†427135,†87618,†2173,†1684,†468,†233044,†186837,†43833,†203844,†171281,†29467,†44088,†36531,†6764,†771,†76797,†292714,†7.8,†7.5,†7.5,†7.6,†7.4,†7.8,†7.9,†7.5,†7.8,†7.8,†7.5,†7.7,†7.7,†7.5,†8.4,†7.5,†7.9,†7.8
39,Hell or High Water†(2016),7.7,"125,026",Drama,88,$12550000.0,102 min,8445,19789,45260,35212,11130,3102,932,475,233,471,†88398,†10427,†564,†519,†43,†41898,†37112,†4370,†40564,†36251,†3817,†10696,†9091,†1425,†403,†18746,†57907,†7.7,†7.4,†8.1,†8.1,†7.7,†7.7,†7.8,†7.4,†7.5,†7.6,†7.4,†7.6,†7.6,†7.7,†8.0,†7.3,†7.9,†7.5
40,Her†(2013),8,"398,431",Drama,90,$26300000.0,126 min,61098,95920,117761,67804,27718,11647,5673,3517,2464,4841,†252724,†72611,†1193,†851,†330,†167097,†123183,†42078,†119227,†95815,†21544,†21741,†17515,†3770,†612,†48466,†188937,†8.0,†7.8,†8.5,†8.6,†8.0,†8.2,†8.2,†7.9,†7.8,†7.8,†7.6,†7.4,†7.4,†7.0,†7.7,†7.3,†8.1,†7.9
54,Les Mis√©rables†(2012),7.6,"260,178",Drama,63,$123020000.0,158 min,54268,47750,63323,45160,22393,10744,5551,3484,2490,5020,†141014,†73591,†972,†502,†456,†112609,†68687,†42720,†69385,†49760,†18632,†18404,†12811,†5282,†623,†42302,†112787,†7.5,†7.9,†7.9,†7.6,†8.4,†7.8,†7.7,†8.0,†7.3,†7.2,†7.6,†7.4,†7.3,†7.7,†7.5,†6.6,†7.6,†7.5
65,Nightcrawler†(2014),8,"340,717",Drama,76,$12550000.0,118 min,30873,66834,130676,77067,22511,6698,2538,1243,790,1503,†235721,†38888,†1273,†1077,†186,†139458,†116782,†21181,†101467,†87631,†12407,†17889,†15053,†2504,†584,†41811,†160134,†7.9,†7.7,†8.4,†8.5,†8.2,†8.0,†8.0,†7.7,†7.7,†7.7,†7.5,†7.7,†7.7,†7.7,†8.3,†7.8,†8.0,†7.8
